V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28
-2.312226542	1.951992011	-1.609850732	3.997905588	-0.522187865	-1.426545319	-2.537387306	1.391657248	-2.770089277	-2.772272145	3.202033207	-2.899907388	-0.595221881	-4.289253782	0.38972412	-1.14074718	-2.830055675	-0.016822468	0.416955705	0.126910559	0.517232371	-0.035049369	-0.465211076	0.320198199	0.044519167	0.177839798	0.261145003	-0.220394247
-3.043540624	-3.157307121	1.08846278	2.288643618	1.35980513	-1.064822523	0.325574266	-0.067793653	-0.270952836	-0.838586565	-0.414575448	-0.50314086	0.676501545	-1.692028933	2.000634839	0.666779696	0.599717414	1.725321007	0.28334483	2.102338793	0.661695925	0.435477209	1.375965743	-0.293803153	0.279798032	-0.145361715	-0.252773123	0.878936971
-2.303349568	1.75924746	-0.359744743	2.330243051	-0.821628328	-0.075787571	0.562319782	-0.399146578	-0.238253368	-1.525411627	2.032912158	-6.560124295	0.022937323	-1.470101536	-0.698826069	-2.282193829	-4.781830856	-2.615664945	-1.334441067	-0.430021867	-0.294166318	-0.932391057	0.172726296	-0.087329538	-0.156114265	-0.542627889	0.039565989	-1.167435732
-4.397974442	1.358367028	-2.592844218	2.679786967	-1.128130942	-1.706536388	-3.496197293	-0.248777743	-0.247767899	-4.801637406	4.895844223	-10.91281932	0.184371686	-6.771096725	-0.007326183	-7.358083221	-12.59841854	-5.131548628	0.308333946	-0.171607879	0.573574068	0.176967718	-0.436206884	-0.053501865	0.252405262	-0.657487755	-0.827135715	-1.690844628
1.234235046	3.019740421	-4.304596885	4.73279513	3.624200831	-1.357745663	1.713444988	-0.496358487	-1.28285782	-2.447469255	2.101343865	-4.609628391	1.464377625	-6.079337193	-0.339237373	2.581850954	6.739384385	3.042493178	-2.721853122	0.009060836	-0.379068307	-0.704181032	-0.656804756	-1.632652957	1.488901448	0.566797273	-0.010016223	-0.224281839
0.008430365	4.137836835	-6.240696572	6.675732163	0.768307025	-3.353059548	-1.631734673	0.154612448	-2.795892464	-6.18789063	5.664394709	-9.854484823	-0.306166658	-10.69119621	-0.638498193	-2.041973791	-1.129055877	0.116452521	-1.934665739	0.488378221	0.36451421	-0.608057134	-0.539527942	0.128939983	1.48848121	0.507962678	0.735821636	-0.681232253
0.026779226	4.132463897	-6.560599968	6.348556673	1.329665669	-2.513478848	-1.6891022	0.303252801	-3.139409057	-6.045467798	6.754625448	-8.948178579	0.702724998	-10.7338541	-1.379519857	-1.638960115	-1.746350136	0.776744098	-1.327356635	0.587743219	0.370508651	-0.576752473	-0.669605372	-0.75990753	1.60505555	0.540675396	0.737040382	-0.683862639
0.329594333	3.712889295	-5.775935108	6.078265506	1.667359013	-2.420168414	-0.812891249	0.133080118	-2.214311312	-5.134454471	4.560720106	-8.873748362	-0.7974836	-9.17716637	-0.257024775	-0.87168849	1.313013629	0.773913873	-2.370599451	0.269772776	0.156617169	-0.652450441	-0.551572219	-0.716521635	1.415716615	0.55526474	0.530507389	-0.645994847
0.316459	3.809075947	-5.615159011	6.047445102	1.554025957	-2.651353112	-0.746579273	0.055586311	-2.678678542	-4.959492912	6.439053352	-7.520117393	0.386351667	-9.252307247	-1.365188415	-0.502362191	0.784426598	1.494304607	-1.808012159	0.388307428	0.208828369	-0.511746619	-0.583813221	-0.219845029	1.474752584	0.491191926	0.518868285	-0.448011177
0.72564574	2.300894438	-5.329976183	4.007682805	-1.73041059	-1.732192568	-3.968592618	1.063728153	-0.486096552	-4.624984954	5.588723915	-7.148242636	1.680450741	-6.210257747	0.495282118	-3.599540209	-4.830324242	-0.64909012	2.250123249	0.504646226	0.589669127	0.109541319	0.601045277	-0.364700278	-1.843077692	0.351909298	0.594549978	-0.476770684
0.7027099	2.426432806	-5.234513296	4.416661243	-2.170806216	-2.667553561	-3.878088455	0.911337122	-0.166199039	-5.009248502	4.675729419	-8.167188052	0.638559282	-6.763334391	1.296860256	-3.81175841	-3.754128066	-1.049177402	1.554197263	0.422743129	0.551179689	-0.009802357	0.72169823	0.473245751	-1.959303771	0.31947554	0.600484916	-0.46289421
1.023873869	2.001485266	-4.769751832	3.819194585	-1.271754227	-1.734662427	-3.059245032	0.889804792	0.415382113	-3.955812344	3.572054816	-7.186451591	0.147242341	-5.249304549	1.678333674	-2.641473109	-1.31205856	-0.391716051	1.118263552	0.204137684	0.343282649	-0.054195664	0.709653952	-0.372215867	-2.032068366	0.366777602	0.395170669	-0.427656805
-1.585505367	3.261584548	-4.137421983	2.357096252	-1.405043314	-1.879437193	-3.513686871	1.515606746	-1.207166361	-6.234561332	5.450746067	-7.333714067	1.361193324	-6.608068252	-0.481069425	-2.60247787	-4.835112052	-0.553026089	0.351948943	0.315957259	0.501543149	-0.546868812	-0.076583636	-0.425550367	0.123644186	0.321984539	0.264028161	-0.521163062
0.243745598	0.243745598	0.243745598	0.243745598	0.243745598	0.243745598	0.243745598	0.243745598	0.243745598	0.243745598	0.243745598	0.243745598	0.243745598	0.243745598	0.243745598	0.243745598	0.243745598	0.243745598	0.243745598	0.243745598	0.243745598	0.243745598	0.243745598	0.243745598	0.243745598	0.243745598	0.243745598	0.243745598
